"CASEID" "ASEID" "Intel_G2" "Intel_G2_SE" "MCASEID" "AFI_G2" "SiblinginSample" "dup"
"385" 43801 1 -0.828 0.543 438 13 1 1
"386" 43901 1 2.726 0.543 439 NA 0 2
"387" 43902 2 3.185 0.573 439 NA 0 2
"388" 44201 1 1.931 0.543 442 18 0 3
"389" 44202 2 1.657 0.543 442 17 0 3
"390" 44203 3 -0.438 0.543 442 14 1 3
"391" 44401 1 2.628 0.543 444 NA 0 2
"392" 44402 2 2.061 0.543 444 14 0 2
"393" 44601 1 -0.198 0.543 446 15 0 2
"394" 44602 2 2.268 0.543 446 13 0 2
"395" 44901 1 2.067 0.573 449 NA 0 2
"396" 44902 2 0.622 0.543 449 NA 0 2
"397" 45201 1 0.203 0.543 452 NA 0 2
"398" 45202 2 1.991 0.543 452 NA 0 2
"399" 45501 1 2.307 0.543 455 18 0 2
"400" 45502 2 0.974 0.543 455 18 0 2
"401" 45801 1 2.178 0.543 458 NA 0 1
"402" 45901 1 1.759 0.543 459 NA 0 3
"403" 45902 2 2.857 0.573 459 NA 0 3
"404" 45903 3 2.428 0.543 459 16 0 3
"405" 46201 1 2.227 0.543 462 NA 0 1
"406" 46501 1 0.187 0.543 465 14 0 1
"407" 46701 1 2.021 0.543 467 18 0 2
"408" 46702 2 1.341 0.543 467 17 0 2
"409" 47101 1 0.844 0.698 471 17.5 0 2
"410" 47102 2 0.145 0.543 471 17 0 2
"411" 47201 1 2.486 0.543 472 NA 0 1
"412" 47401 1 1.144 0.543 474 15 0 3
"413" 47402 2 0.097 0.543 474 13 1 3
"414" 47403 3 0.787 0.543 474 14 0 3
"415" 47501 1 -0.106 0.573 475 15 0 1
"416" 47601 1 1.842 0.573 476 NA 0 2
"417" 47602 2 1.311 0.573 476 NA 0 2
"418" 47801 1 -0.706 0.543 478 NA 0 2
"419" 47802 2 -0.449 0.543 478 18 0 2
"420" 48501 NA NA NA 485 NA 0 3
"421" 48502 2 0.533 0.543 485 17 0 3
"422" 48503 3 0.276 0.543 485 15 0 3
"423" 49101 NA NA NA 491 NA 0 2
"424" 49102 NA NA NA 491 NA 0 2
"425" 49201 1 2.327 0.543 492 19 0 3
"426" 49202 2 2.043 0.543 492 15 0 3
"427" 49203 3 0.025 0.543 492 15 0 3
"428" 49401 1 1.193 0.543 494 NA 0 2
"429" 49402 2 -0.072 0.543 494 19 0 2
"430" 49501 1 0.977 0.543 495 19 0 2
"431" 49502 2 1.103 0.543 495 16 0 2
"432" 49901 1 0.235 0.573 499 17 0 1
"433" 50101 1 3.14 0.573 501 NA 0 2
"434" 50102 2 3.97 0.543 501 NA 0 2
"435" 50301 NA NA NA 503 18 0 3
"436" 50302 NA NA NA 503 18 0 3
